title,soup
Avatar,cultureclash future spacewar samworthington zoesaldana sigourneyweaver jamescameron action adventure fantasy
Pirates of the Caribbean: At World's End,ocean drugabuse exoticisland johnnydepp orlandobloom keiraknightley goreverbinski adventure fantasy action
Spectre,spy basedonnovel secretagent danielcraig christophwaltz léaseydoux sammendes action adventure crime
The Dark Knight Rises,dccomics crimefighter terrorist christianbale michaelcaine garyoldman christophernolan action crime drama
John Carter,basedonnovel mars medallion taylorkitsch lynncollins samanthamorton andrewstanton action adventure sciencefiction
Spider-Man 3,dualidentity amnesia sandstorm tobeymaguire kirstendunst jamesfranco samraimi fantasy action adventure
Tangled,hostage magic horse zacharylevi mandymoore donnamurphy byronhoward animation family
Avengers: Age of Ultron,marvelcomic sequel superhero robertdowneyjr. chrishemsworth markruffalo josswhedon action adventure sciencefiction
Harry Potter and the Half-Blood Prince,witch magic broom danielradcliffe rupertgrint emmawatson davidyates adventure fantasy family
Batman v Superman: Dawn of Justice,dccomics vigilante superhero benaffleck henrycavill galgadot zacksnyder action adventure fantasy
Superman Returns,savingtheworld dccomics invulnerability brandonrouth kevinspacey katebosworth bryansinger adventure fantasy action
Quantum of Solace,killing undercover secretagent danielcraig olgakurylenko mathieuamalric marcforster adventure action thriller
Pirates of the Caribbean: Dead Man's Chest,witch fortuneteller bondage johnnydepp orlandobloom keiraknightley goreverbinski adventure fantasy action
The Lone Ranger,texas horse survivor johnnydepp armiehammer williamfichtner goreverbinski action adventure western
Man of Steel,savingtheworld dccomics superhero henrycavill amyadams michaelshannon zacksnyder action adventure fantasy
The Chronicles of Narnia: Prince Caspian,basedonnovel fictionalplace brothersisterrelationship benbarnes williammoseley annapopplewell andrewadamson adventure family fantasy
The Avengers,newyork shield marvelcomic robertdowneyjr. chrisevans markruffalo josswhedon sciencefiction action adventure
Pirates of the Caribbean: On Stranger Tides,sea captain mutiny johnnydepp penélopecruz ianmcshane robmarshall adventure action fantasy
Men in Black 3,timetravel timemachine alien willsmith tommyleejones joshbrolin barrysonnenfeld action comedy sciencefiction
The Hobbit: The Battle of the Five Armies,corruption elves dwarves martinfreeman ianmckellen richardarmitage peterjackson action adventure fantasy
The Amazing Spider-Man,lossoffather vigilante serum andrewgarfield emmastone rhysifans marcwebb action adventure fantasy
Robin Hood,robinhood archer knight russellcrowe cateblanchett maxvonsydow ridleyscott action adventure
The Hobbit: The Desolation of Smaug,elves dwarves orcs martinfreeman ianmckellen richardarmitage peterjackson adventure fantasy
The Golden Compass,england compass experiment dakotabluerichards nicolekidman danielcraig chrisweitz adventure fantasy
King Kong,filmbusiness screenplay showbusiness naomiwatts jackblack adrienbrody peterjackson adventure drama action
Titanic,shipwreck iceberg ship katewinslet leonardodicaprio francesfisher jamescameron drama romance thriller
Captain America: Civil War,civilwar war marvelcomic chrisevans robertdowneyjr. scarlettjohansson anthonyrusso adventure action sciencefiction
Battleship,fight u.s.navy mindreading taylorkitsch alexanderskarsgård rihanna peterberg thriller action adventure
Jurassic World,monster dna tyrannosaurusrex chrispratt brycedallashoward irrfankhan colintrevorrow action adventure sciencefiction
Skyfall,spy secretagent sociopath danielcraig judidench javierbardem sammendes action adventure thriller
Spider-Man 2,dualidentity loveofone'slife pizzaboy tobeymaguire kirstendunst jamesfranco samraimi action adventure fantasy
Iron Man 3,terrorist waronterror tennessee robertdowneyjr. gwynethpaltrow doncheadle shaneblack action adventure sciencefiction
Alice in Wonderland,basedonnovel fictionalplace queen miawasikowska johnnydepp annehathaway timburton family fantasy adventure
X-Men: The Last Stand,mutant marvelcomic basedoncomicbook hughjackman halleberry ianmckellen brettratner adventure action sciencefiction
Monsters University,monster dormitory games billycrystal johngoodman stevebuscemi danscanlon animation family
Transformers: Revenge of the Fallen,egypt sun chaos shialabeouf meganfox joshduhamel michaelbay sciencefiction action adventure
Transformers: Age of Extinction,sequel alien transformers markwahlberg stanleytucci kelseygrammer michaelbay sciencefiction action adventure
Oz: The Great and Powerful,circus witch magic jamesfranco milakunis rachelweisz samraimi fantasy adventure family
The Amazing Spider-Man 2,obsession marvelcomic sequel andrewgarfield emmastone jamiefoxx marcwebb action adventure fantasy
TRON: Legacy,artificialintelligence secretidentity computerprogram garretthedlund jeffbridges oliviawilde josephkosinski adventure action sciencefiction
Cars 2,carrace sequel comedy owenwilson larrythecableguy michaelcaine johnlasseter animation family adventure
Green Lantern,dccomics transformation superhero ryanreynolds blakelively petersarsgaard martincampbell adventure action thriller
Toy Story 3,hostage college toy tomhanks timallen nedbeatty leeunkrich animation family comedy
Terminator Salvation,savingtheworld artificialintelligence prophecy christianbale samworthington antonyelchin mcg action sciencefiction thriller
Furious 7,carrace speed revenge vindiesel paulwalker dwaynejohnson jameswan action
World War Z,dystopia apocalypse zombie bradpitt mireilleenos abigailhargrove marcforster action drama horror
X-Men: Days of Future Past,1970s mutant timetravel hughjackman jamesmcavoy michaelfassbender bryansinger action adventure fantasy
Star Trek Into Darkness,spacecraft friendship sequel chrispine zacharyquinto zoesaldana j.j.abrams action adventure sciencefiction
Jack the Giant Slayer,basedonfairytale giant nicholashoult eleanortomlinson ewanmcgregor bryansinger action family fantasy
The Great Gatsby,basedonnovel infidelity obsession leonardodicaprio tobeymaguire careymulligan bazluhrmann drama romance
Prince of Persia: The Sands of Time,persia sandstorm brotheragainstbrother jakegyllenhaal gemmaarterton benkingsley mikenewell adventure fantasy action
Pacific Rim,dystopia giantrobot giantmonster idriselba charliehunnam charlieday guillermodeltoro action sciencefiction adventure
Transformers: Dark of the Moon,moon spacecraft traitor shialabeouf johnmalkovich kenjeong michaelbay action sciencefiction adventure
Indiana Jones and the Kingdom of the Crystal Skull,savingtheworld riddle whip harrisonford cateblanchett shialabeouf stevenspielberg adventure action
The Good Dinosaur,tyrannosaurusrex friends alternatehistory raymondochoa jackbright jeffreywright petersohn adventure animation family
Brave,scotland rebel bravery kellymacdonald juliewalters billyconnolly brendachapman animation adventure comedy
Star Trek Beyond,sequel stranded hatred chrispine zacharyquinto karlurban justinlin action adventure sciencefiction
WALL·E,romanticcomedy benburtt elissaknight jeffgarlin andrewstanton animation family
Rush Hour 3,ambassador christucker jackiechan hiroyukisanada brettratner action comedy crime
2012,civilization naturaldisaster endoftheworld johncusack amandapeet chiwetelejiofor rolandemmerich action adventure sciencefiction
A Christmas Carol,holiday basedonnovel victorianengland garyoldman jimcarrey stevevalentine robertzemeckis animation drama
Jupiter Ascending,jupiter space womandirector milakunis channingtatum seanbean lillywachowski sciencefiction fantasy action
The Legend of Tarzan,africa feralchild tarzan alexanderskarsgård margotrobbie christophwaltz davidyates action adventure
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",savingtheworld witch basedonnovel williammoseley annapopplewell skandarkeynes andrewadamson adventure family fantasy
X-Men: Apocalypse,mutant supernaturalpowers marvelcomic jamesmcavoy michaelfassbender jenniferlawrence bryansinger sciencefiction
The Dark Knight,dccomics crimefighter secretidentity christianbale heathledger aaroneckhart christophernolan drama action crime
Up,agedifference centralandsouthamerica balloon edasner christopherplummer jordannagai petedocter animation comedy family
Monsters vs Aliens,alien giantrobot duringcreditsstinger sethrogen reesewitherspoon hughlaurie conradvernon animation family adventure
Iron Man,middleeast armsdealer malibu robertdowneyjr. terrencehoward jeffbridges jonfavreau action sciencefiction adventure
Hugo,library clock filmdirector benkingsley sachabaroncohen asabutterfield martinscorsese adventure drama family
Wild Wild West,steampunk basedontvseries steamlocomotive willsmith kevinkline kennethbranagh barrysonnenfeld action adventure comedy
The Mummy: Tomb of the Dragon Emperor, brendanfraser jetli johnhannah robcohen adventure action fantasy
Suicide Squad,dccomics shareduniverse antihero willsmith margotrobbie joelkinnaman davidayer action adventure crime
Evan Almighty,fathersonrelationship dailylife marriedcouple stevecarell laurengraham johngoodman tomshadyac fantasy comedy family
Edge of Tomorrow,dejavu timewarp restart tomcruise emilyblunt brendangleeson dougliman action sciencefiction
Waterworld,ocean tattoo mutant kevincostner chaimgirafi rickaviles kevinreynolds adventure action
G.I. Joe: The Rise of Cobra,terrorist secret hostage dennisquaid channingtatum marlonwayans stephensommers adventure action thriller
Inside Out,dream cartoon imaginaryfriend amypoehler phyllissmith richardkind petedocter drama comedy animation
The Jungle Book,basedonnovel snake wolf neelsethi billmurray benkingsley jonfavreau family adventure drama
Iron Man 2,malibu marvelcomic superhero robertdowneyjr. gwynethpaltrow doncheadle jonfavreau adventure action sciencefiction
Snow White and the Huntsman,queen magic fairytale kristenstewart charlizetheron chrishemsworth rupertsanders adventure fantasy drama
Maleficent,fairytale villain sleepingbeauty angelinajolie ellefanning sharltocopley robertstromberg fantasy adventure action
Dawn of the Planet of the Apes,leader colony post-apocalyptic andyserkis jasonclarke garyoldman mattreeves sciencefiction action drama
The Lovers, joshhartnett simonekessell tamsinegerton rolandjoffé action adventure sciencefiction
47 Ronin,japan suicide samurai keanureeves hiroyukisanada koushibasaki carlrinsch drama action adventure
Captain America: The Winter Soldier,washingtond.c. future shield chrisevans samuell.jackson scarlettjohansson anthonyrusso action adventure sciencefiction
Shrek Forever After,ogre 3d mikemyers eddiemurphy camerondiaz mikemitchell comedy adventure fantasy
Tomorrowland,inventor apocalypse destiny brittrobertson georgeclooney raffeycassidy bradbird adventure family mystery
Big Hero 6,brotherbrotherrelationship hero talent scottadsit ryanpotter danielhenney chriswilliams adventure family animation
Wreck-It Ralph,supportgroup productplacement bullying johnc.reilly sarahsilverman jackmcbrayer richmoore family animation comedy
The Polar Express,santaclaus nerd faith tomhanks michaeljeter nonagaye robertzemeckis adventure animation family
Independence Day: Resurgence,alternatehistory alieninvasion liamhemsworth jeffgoldblum billpullman rolandemmerich action adventure sciencefiction
How to Train Your Dragon,flying blacksmith arena jaybaruchel gerardbutler craigferguson chrissanders fantasy adventure animation
Terminator 3: Rise of the Machines,savingtheworld artificialintelligence manvsmachine arnoldschwarzenegger nickstahl clairedanes jonathanmostow action thriller sciencefiction
Guardians of the Galaxy,marvelcomic spaceship space chrispratt zoesaldana davebautista jamesgunn action sciencefiction adventure
Interstellar,savingtheworld artificialintelligence fathersonrelationship matthewmcconaughey jessicachastain annehathaway christophernolan adventure drama sciencefiction
Inception,lossoflover dream kidnapping leonardodicaprio josephgordon-levitt ellenpage christophernolan action thriller sciencefiction
Shin Godzilla,monster godzilla giantmonster hirokihasegawa yutakatakenouchi satomiishihara hideakianno action adventure drama
The Hobbit: An Unexpected Journey,riddle elves dwarves ianmckellen martinfreeman richardarmitage peterjackson adventure fantasy action
The Fast and the Furious,streetgang carrace undercover paulwalker vindiesel michellerodriguez robcohen action crime thriller
The Curious Case of Benjamin Button,diary navy funeral cateblanchett bradpitt tildaswinton davidfincher fantasy drama thriller
X-Men: First Class,cia mutant mine jamesmcavoy michaelfassbender jenniferlawrence matthewvaughn action sciencefiction adventure
The Hunger Games: Mockingjay - Part 2,revolution strongwoman dystopia jenniferlawrence joshhutcherson liamhemsworth francislawrence action adventure sciencefiction
The Sorcerer's Apprentice,witch fire wolf nicolascage jaybaruchel monicabellucci jonturteltaub fantasy adventure action
Poseidon,newyear'seve fire drowning kurtrussell richarddreyfuss joshlucas wolfgangpetersen adventure action drama
Alice Through the Looking Glass,basedonnovel clock queen johnnydepp miawasikowska annehathaway jamesbobin fantasy
Shrek the Third,ambush sadness stage mikemyers eddiemurphy camerondiaz chrismiller fantasy adventure animation
Warcraft,videogame elves orcs paulapatton travisfimmel benfoster duncanjones action adventure fantasy
Terminator Genisys,savingtheworld artificialintelligence cyborg arnoldschwarzenegger jasonclarke emiliaclarke alantaylor sciencefiction action thriller
The Chronicles of Narnia: The Voyage of the Dawn Treader,basedonnovel magic goodvsevil skandarkeynes georgiehenley simonpegg michaelapted adventure family fantasy
Pearl Harbor,nurse patriotism hawaii benaffleck joshhartnett katebeckinsale michaelbay history romance war
Transformers,destroy transformation alien shialabeouf joshduhamel meganfox michaelbay adventure sciencefiction action
Alexander,aristotle egypt greece colinfarrell angelinajolie valkilmer oliverstone war history action
Harry Potter and the Order of the Phoenix,prophecy witch lossoflover danielradcliffe rupertgrint emmawatson davidyates adventure fantasy family
Harry Potter and the Goblet of Fire,magic dyinganddeath broom danielradcliffe rupertgrint emmawatson mikenewell adventure fantasy family
Hancock,flying alcohol loveofone'slife willsmith charlizetheron jasonbateman peterberg fantasy action
I Am Legend,savingtheworld lostcivilisation post-apocalyptic willsmith alicebraga charlietahan francislawrence drama horror action
Charlie and the Chocolate Factory,londonengland fathersonrelationship chocolate johnnydepp freddiehighmore davidkelly timburton adventure comedy family
Ratatouille,paris brotherbrotherrelationship expensiverestaurant pattonoswalt ianholm louromano janpinkava animation comedy family
Batman Begins,himalaya martialarts dccomics christianbale michaelcaine liamneeson christophernolan action crime drama
Madagascar: Escape 2 Africa,africa jealousy dance benstiller jadapinkettsmith davidschwimmer ericdarnell family animation
Night at the Museum: Battle of the Smithsonian,museum theodoreroosevelt duringcreditsstinger benstiller amyadams owenwilson shawnlevy adventure fantasy action
X-Men Origins: Wolverine,corruption mutant boxer hughjackman lievschreiber dannyhuston gavinhood adventure action thriller
The Matrix Revolutions,savingtheworld artificialintelligence manvsmachine keanureeves laurencefishburne carrie-annemoss lillywachowski adventure action thriller
Frozen,queen musical princess kristenbell idinamenzel jonathangroff chrisbuck animation adventure family
The Matrix Reloaded,savingtheworld artificialintelligence manvsmachine keanureeves carrie-annemoss laurencefishburne lillywachowski adventure action thriller
Thor: The Dark World,marvelcomic superhero basedoncomicbook chrishemsworth natalieportman tomhiddleston alantaylor action adventure fantasy
Mad Max: Fury Road,future chase post-apocalyptic tomhardy charlizetheron nicholashoult georgemiller action adventure sciencefiction
Angels & Demons,rome vatican basedonnovel tomhanks ewanmcgregor ayeletzurer ronhoward thriller mystery
Thor,newmexico banishment shield chrishemsworth natalieportman tomhiddleston kennethbranagh adventure fantasy action
Bolt,hamster kidsandfamily animal johntravolta mileycyrus susieessman chriswilliams animation family adventure
G-Force,dyr duringcreditsstinger samrockwell penélopecruz tracymorgan hoytyeatman fantasy action adventure
Wrath of the Titans,underworld hades mythology samworthington liamneeson ralphfiennes jonathanliebesman adventure
Dark Shadows,witch imprisonment vampire johnnydepp michellepfeiffer helenabonhamcarter timburton comedy fantasy
Mission: Impossible - Rogue Nation,londonengland spy austria tomcruise rebeccaferguson simonpegg christophermcquarrie action adventure thriller
The Wolfman,fathersonrelationship victorianengland remake beniciodeltoro anthonyhopkins emilyblunt joejohnston drama horror thriller
Bee Movie,factoryworker tennis flower jerryseinfeld renéezellweger jimcummings stevehickner family animation adventure
Kung Fu Panda 2,martialarts hope fleet jackblack angelinajolie dustinhoffman jenniferyuhnelson animation family
The Last Airbender,fire ice warship noahringer nicolapeltz jacksonrathbone m.nightshyamalan action adventure family
Mission: Impossible III,berlin cia vatican tomcruise philipseymourhoffman vingrhames j.j.abrams adventure action thriller
White House Down,usapresident conspiracy secretservice channingtatum jamiefoxx joeyking rolandemmerich action drama thriller
